player_id,Player,Age,Team,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt p100,On-Off p100,BadPass TO,LostBall TO,Shoot Foul,Off. Foul,Shoot Drawn,Off. Drawn,PGA,And1,Blkd,Awards,Column_25
greenje02,405,Trey Jemison,25,NOP,C,16,0,166,0,0,0,0,100,-7.5,2.2,2,3,11,5,9,0,22,1,6,
jemistr01,405,Trey Jemison,25,LAL,C,22,0,226,0,0,0,13,87,-0.5,-2.3,3,4,23,5,4,0,17,0,4,
jemistr01,406,Reggie Jackson,34,PHI,PG,31,1,384,44,40,17,0,0,-1.0,6.0,12,1,10,2,3,1,111,1,3,
jemistr01,407,Baylor Scheierman,24,BOS,SG,31,2,384,2,61,36,2,0,5.4,-4.0,4,5,12,1,5,6,82,0,3,
jacksre01,408,Quenton Jackson,26,IND,PG,28,7,381,75,26,0,0,0,0.7,-1.8,9,2,21,3,17,18,122,4,13,
scheiba01,409,Alex Len,31,2TM,C,46,7,380,0,0,0,0,100,-18.1,-20.0,9,4,32,5,8,0,97,1,7,
jacksqu01,409,Alex Len,31,SAC,C,36,3,258,0,0,0,0,100,-16.4,-18.1,3,2,17,4,7,0,78,1,4,
lenal01,409,Alex Len,31,LAL,C,10,4,122,0,0,0,0,100,-21.6,-24.0,6,2,15,1,1,0,19,0,3,
lenal01,410,Johnny Furphy,20,IND,SG,50,0,379,3,59,38,0,0,2.6,0.3,4,5,21,2,7,2,44,4,11,
lenal01,411,Charles Bassey,24,SAS,C,36,1,376,0,0,0,2,98,-15.0,-13.3,6,9,34,5,14,0,39,5,7,
furphjo01,412,Dominick Barlow,21,ATL,PF,35,4,375,0,0,4,73,23,0.0,1.4,1,2,36,1,16,2,46,7,7,
bassech01,413,Dante Exum,29,DAL,PG,20,13,372,91,9,0,0,0,-5.5,-4.7,16,2,27,3,14,5,134,3,14,
barlodo01,414,Damion Baugh,24,CHO,SG,15,2,370,16,68,16,1,0,-23.0,-15.1,25,3,8,1,7,1,134,1,9,
exumda01,415,Jaden Springer,22,2TM,PG,43,2,365,22,62,16,0,0,-2.4,-0.2,7,7,16,2,17,3,76,2,4,
baughda01,415,Jaden Springer,22,BOS,SG,26,0,141,24,52,24,0,0,6.9,-2.2,1,1,6,2,9,0,22,1,3,
sprinja01,415,Jaden Springer,22,UTA,PG,17,2,224,21,68,11,0,0,-8.2,1.1,6,6,10,0,8,3,54,1,1,
sprinja01,416,Robert Williams,27,POR,C,20,3,351,0,0,0,10,90,-3.6,-0.4,8,4,23,5,9,0,52,3,6,
sprinja01,417,Doug McDermott,33,SAC,SF,42,3,342,0,6,56,37,1,4.7,4.6,3,1,15,2,2,0,15,0,3,
williro04,418,Christian Koloko,24,LAL,C,37,0,342,0,0,0,0,100,-1.2,-3.1,3,5,35,0,4,1,39,0,8,
mcderdo01,419,Terrence Shannon Jr.,24,MIN,SG,32,1,339,0,6,60,33,1,2.6,-2.6,5,5,17,2,12,1,77,3,18,
kolokch01,420,Keion Brooks Jr.,24,NOP,SF,14,6,332,0,0,52,47,1,-19.5,-10.8,3,4,18,3,15,0,31,4,6,
shannte01,421,Tristan Thompson,33,CLE,C,40,0,328,0,0,0,0,100,-11.9,-23.6,5,4,12,3,13,0,61,2,7,
brookke02,422,Maxwell Lewis,22,2TM,SF,28,1,327,13,50,34,3,0,-8.4,-1.5,4,8,19,0,5,2,53,0,10,
thomptr01,422,Maxwell Lewis,22,LAL,SF,7,0,29,0,29,61,11,0,-46.0,-48.0,0,2,1,0,0,0,5,0,0,
lewisma05,422,Maxwell Lewis,22,BRK,SF,21,1,298,15,52,32,2,0,-4.8,3.0,4,6,18,0,5,2,48,0,10,
lewisma05,423,Jevon Carter,29,CHI,PG,36,1,321,90,10,0,0,0,2.2,3.7,4,6,8,0,5,0,93,2,4,
lewisma05,424,Patty Mills,36,2TM,PG,29,0,321,98,2,0,0,0,-3.5,3.5,14,3,12,0,3,8,64,0,3,
carteje01,424,Patty Mills,36,UTA,PG,17,0,260,100,0,0,0,0,-0.9,8.8,14,2,7,0,1,7,51,0,2,
millspa02,424,Patty Mills,36,LAC,PG,12,0,61,89,12,0,0,0,-14.4,-19.2,0,1,5,0,2,1,13,0,1,
millspa02,425,Tre Mann,23,CHO,PG,13,0,319,100,0,0,0,0,-8.4,1.0,10,9,13,4,9,1,102,3,13,
millspa02,426,Jalen Hood-Schifino,21,2TM,SG,15,0,315,9,52,38,1,0,-16.0,-10.9,7,9,17,1,8,1,88,1,4,
manntr01,426,Jalen Hood-Schifino,21,LAL,SG,2,0,14,0,90,10,0,0,23.2,21.7,0,1,2,0,0,0,2,0,0,
hoodsja01,426,Jalen Hood-Schifino,21,PHI,SG,13,0,301,9,50,39,1,0,-17.8,-12.4,7,8,15,1,8,1,86,1,4,
hoodsja01,427,Torrey Craig,34,2TM,SF,26,4,314,0,12,45,41,2,-3.1,-8.8,5,2,19,1,6,4,44,0,3,
hoodsja01,427,Torrey Craig,34,CHI,SF,9,1,113,0,0,14,83,3,-8.1,-7.1,0,0,9,0,2,1,11,0,2,
craigto01,427,Torrey Craig,34,BOS,SF,17,3,201,0,20,63,17,1,-0.3,-9.8,5,2,10,1,4,3,33,0,1,
craigto01,428,Jordan McLaughlin,28,2TM,PG,46,0,314,96,4,0,0,0,8.0,9.1,10,6,12,0,6,6,126,2,4,
craigto01,428,Jordan McLaughlin,28,SAC,PG,28,0,190,100,0,0,0,0,0.4,-0.2,6,5,8,0,4,5,61,0,4,
mclaujo01,428,Jordan McLaughlin,28,SAS,PG,18,0,124,90,10,0,0,0,19.7,23.5,4,1,4,0,2,1,65,2,0,
mclaujo01,429,Matisse Thybulle,27,POR,SG,15,5,312,19,61,18,2,0,0.3,3.9,8,4,5,0,6,2,69,1,3,
mclaujo01,430,Isaac Jones,24,SAC,PF,40,0,304,0,0,2,61,37,-9.7,-11.1,7,6,19,1,19,1,31,6,13,
thybuma01,431,Tyler Kolek,23,NYK,PG,41,0,296,100,0,0,0,0,0.4,-4.1,15,2,16,1,7,3,176,1,3,
jonesis01,432,Mitchell Robinson,26,NYK,C,17,3,290,0,0,0,16,84,7.1,3.2,4,1,19,2,6,0,32,1,1,
kolekty01,433,Josh Minott,22,MIN,SF,46,0,276,0,6,57,37,0,-1.2,-6.8,7,2,18,1,7,1,45,1,6,
robinmi01,434,Kobe Brown,25,LAC,PF,40,0,272,0,0,0,62,38,-10.2,-15.8,6,3,13,1,4,1,54,3,3,
minotjo01,435,Dru Smith,27,MIA,SG,14,1,268,53,47,0,0,0,6.9,6.8,8,7,17,1,2,5,58,0,2,
brownko01,436,Isaiah Wong,24,CHO,SG,20,0,265,23,58,19,0,0,-1.7,8.2,10,5,12,1,17,3,68,2,13,
smithdr01,437,Marvin Bagley III,25,2TM,PF,31,2,265,0,0,0,24,76,-1.5,4.4,6,5,13,0,17,1,27,3,4,
wongis01,437,Marvin Bagley III,25,WAS,C,19,1,166,0,0,0,16,84,-7.4,5.0,6,4,9,0,12,1,17,3,3,
baglema01,437,Marvin Bagley III,25,MEM,PF,12,1,99,0,0,0,36,64,8.4,3.5,0,1,4,0,5,0,10,0,1,
baglema01,438,Oscar Tshiebwe,25,UTA,C,14,1,255,0,0,3,59,38,-1.0,8.8,3,2,12,1,19,1,23,7,10,
baglema01,439,Drew Timme,24,BRK,PF,9,2,254,0,0,0,2,98,-12.2,-5.1,5,5,14,4,10,4,52,4,2,
tshieos01,440,Marcus Bagley,23,PHI,SF,10,4,253,0,0,14,86,0,-14.2,-8.3,5,0,12,1,5,2,23,0,5,
timmedr01,441,Cam Spencer,24,MEM,SG,25,1,252,53,43,4,0,0,6.8,2.0,4,0,8,1,7,1,82,2,1,
baglema02,442,Kevin Love,36,MIA,PF,23,9,251,0,0,0,49,51,-3.4,-4.3,12,1,16,0,8,4,49,1,6,
spencca01,443,Pat Spencer,28,GSW,PG,39,0,250,80,20,0,0,0,-1.1,-5.0,12,5,10,1,8,2,113,1,10,
loveke01,444,JT Thor,22,2TM,PF,20,0,249,0,0,1,76,23,-19.9,-11.8,5,2,10,1,11,0,17,0,4,
spencpa01,444,JT Thor,22,CLE,PF,9,0,42,0,0,0,92,8,-33.7,-44.0,3,2,2,1,4,0,3,0,0,
thorjt01,444,JT Thor,22,WAS,PF,11,0,207,0,0,1,73,26,-17.1,-5.2,2,0,8,0,7,0,14,0,4,
thorjt01,445,Branden Carlson,25,OKC,C,32,0,246,0,0,0,3,97,7.8,-5.6,2,4,17,1,10,0,36,2,4,
thorjt01,446,Dariq Whitehead,20,BRK,SF,20,0,246,0,28,54,16,2,-11.2,-3.9,7,6,16,1,3,1,29,1,6,
carlsbr01,447,Johnny Davis,22,WAS,SG,34,0,242,6,67,27,0,0,-5.0,7.6,3,2,10,0,6,2,27,0,3,
whiteda01,448,Jaylen Martin,21,2TM,SF,16,0,239,0,3,63,34,1,-25.7,-14.4,8,4,8,0,5,1,42,2,5,
davisjo06,448,Jaylen Martin,21,BRK,SF,3,0,5,0,0,34,66,0,-7.1,0.4,0,0,1,0,0,0,0,0,0,
martija02,448,Jaylen Martin,21,WAS,SF,13,0,234,0,3,63,33,1,-26.1,-14.8,8,4,7,0,5,1,42,2,5,
martija02,449,Bones Hyland,24,2TM,PG,24,0,239,93,7,0,0,0,-7.8,-13.2,17,7,17,1,10,0,76,1,5,
martija02,449,Bones Hyland,24,LAC,PG,20,0,222,100,0,0,0,0,-8.8,-14.2,16,7,16,1,10,0,66,1,5,
hylanbo01,449,Bones Hyland,24,MIN,PG,4,0,17,0,100,0,0,0,5.5,0.5,1,0,1,0,0,0,10,0,0,
hylanbo01,450,Xavier Tillman Sr.,26,BOS,C,33,2,231,0,0,1,71,28,-2.4,-12.2,3,8,14,1,1,0,20,0,4,
hylanbo01,451,Garrett Temple,38,TOR,SG,28,0,227,31,51,18,0,0,-5.1,-0.9,3,6,14,0,5,2,76,0,4,
tillmxa01,452,Jared Rhoden,25,2TM,SG,14,2,227,4,44,48,4,0,12.7,18.2,7,1,10,0,12,0,41,1,6,
