player_id,Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
bridgmi01,1.0,Mikal Bridges,28.0,NYK,SF,82.0,82.0,3036.0,9.7,19.3,0.5,2.7,7.6,0.354,7.0,11.8,0.594,0.57,1.6,1.9,0.814,1.2,3.1,4.2,5.0,1.2,0.7,2.2,2.1,23.6,117.0,118.0,
hartjo01,2.0,Josh Hart,29.0,NYK,SG,77.0,77.0,2897.0,6.9,13.2,0.525,1.4,4.3,0.333,5.5,8.9,0.618,0.579,2.7,3.5,0.776,2.8,9.9,12.6,7.8,2.0,0.5,2.7,3.4,18.0,125.0,112.0,
edwaran01,3.0,Anthony Edwards,23.0,MIN,SG,79.0,79.0,2871.0,12.4,27.7,0.447,5.5,13.9,0.395,6.9,13.8,0.501,0.547,7.1,8.5,0.837,1.0,6.7,7.7,6.2,1.6,0.9,4.3,2.6,37.4,115.0,112.0,"MVP-7,CPOY-3,AS,NBA2"
bookede01,4.0,Devin Booker,28.0,PHO,SG,75.0,75.0,2795.0,11.6,25.1,0.461,3.2,9.7,0.332,8.3,15.4,0.542,0.525,7.6,8.5,0.894,1.3,4.1,5.4,9.4,1.2,0.3,3.9,3.5,34.0,119.0,123.0,
hardeja01,5.0,James Harden,35.0,LAC,PG,79.0,79.0,2789.0,9.4,22.9,0.41,4.1,11.8,0.352,5.2,11.1,0.472,0.501,8.9,10.2,0.874,1.0,7.1,8.1,12.1,2.1,1.0,6.0,2.9,31.8,114.0,110.0,"MVP-10,AS,NBA3"
derozde01,6.0,DeMar DeRozan,35.0,SAC,SF,77.0,77.0,2768.0,11.0,23.1,0.477,1.5,4.5,0.328,9.5,18.6,0.513,0.509,6.7,7.8,0.857,0.9,4.4,5.3,6.0,1.1,0.6,1.9,2.7,30.2,120.0,119.0,
youngtr01,7.0,Trae Young,26.0,ATL,PG,76.0,76.0,2739.0,9.7,23.5,0.411,3.7,11.0,0.34,5.9,12.5,0.474,0.491,8.4,9.6,0.875,0.6,3.4,4.0,15.0,1.6,0.2,6.1,2.5,31.4,114.0,119.0,"CPOY-4,AS"
herroty01,8.0,Tyler Herro,25.0,MIA,SG,77.0,77.0,2725.0,11.9,25.2,0.472,4.6,12.3,0.375,7.3,13.0,0.565,0.563,5.3,6.0,0.878,0.6,6.7,7.3,7.8,1.3,0.3,3.6,1.6,33.7,117.0,115.0,AS
anunoog01,9.0,OG Anunoby,27.0,NYK,PF,74.0,74.0,2706.0,9.0,18.8,0.476,3.1,8.4,0.372,5.8,10.4,0.561,0.559,3.4,4.1,0.81,1.8,4.8,6.6,3.0,2.0,1.2,1.9,3.2,24.4,118.0,114.0,
greenja05,10.0,Jalen Green,22.0,HOU,SG,82.0,82.0,2697.0,11.0,25.9,0.423,4.2,11.9,0.354,6.8,14.0,0.482,0.505,4.9,6.1,0.813,0.8,6.0,6.8,5.1,1.3,0.5,3.7,2.3,31.1,110.0,113.0,
braunch01,11.0,Christian Braun,23.0,DEN,SG,79.0,77.0,2675.0,8.6,14.8,0.58,1.6,4.0,0.397,7.0,10.7,0.648,0.634,3.2,3.8,0.827,1.8,5.6,7.4,3.7,1.5,0.7,1.5,3.1,21.9,133.0,118.0,
adebaba01,12.0,Bam Adebayo,27.0,MIA,C,78.0,78.0,2674.0,10.1,20.8,0.485,1.5,4.1,0.357,8.6,16.6,0.517,0.521,4.7,6.1,0.765,3.5,10.5,14.0,6.3,1.8,1.0,3.0,3.0,26.3,115.0,110.0,DPOY-10
zubaciv01,13.0,Ivica Zubac,27.0,LAC,C,80.0,80.0,2624.0,11.1,17.7,0.628,0.0,0.0,,11.1,17.7,0.628,0.628,2.9,4.4,0.661,5.6,13.3,19.0,4.0,1.0,1.7,2.4,3.2,25.1,129.0,108.0,"DPOY-6,DEF2"
tatumja01,14.0,Jayson Tatum,26.0,BOS,PF,72.0,72.0,2624.0,12.7,28.0,0.452,4.8,13.9,0.343,7.9,14.1,0.559,0.537,6.8,8.4,0.814,0.9,11.0,11.9,8.2,1.5,0.7,4.0,3.0,36.9,117.0,110.0,"MVP-4,CPOY-10,AS,NBA1"
mcdanja02,15.0,Jaden McDaniels,24.0,MIN,PF,82.0,82.0,2614.0,7.5,15.7,0.477,1.9,5.7,0.33,5.6,10.0,0.561,0.537,2.0,2.4,0.813,2.4,6.4,8.9,3.1,2.1,1.4,1.8,4.2,18.9,115.0,110.0,
murrake02,16.0,Keegan Murray,24.0,SAC,PF,76.0,76.0,2610.0,6.8,15.4,0.444,2.9,8.4,0.343,3.9,7.0,0.566,0.538,1.1,1.3,0.833,2.7,6.8,9.5,2.0,1.1,1.3,1.1,3.5,17.7,116.0,117.0,
lavinza01,17.0,Zach LaVine,29.0,2TM,SG,74.0,74.0,2602.0,11.4,22.4,0.511,4.4,9.8,0.446,7.1,12.6,0.562,0.609,4.3,5.2,0.825,0.4,5.4,5.8,5.7,1.1,0.2,3.8,2.2,31.6,116.0,119.0,
lavinza01,17.0,Zach LaVine,29.0,CHI,SF,42.0,42.0,1432.0,11.8,23.1,0.511,4.4,9.9,0.446,7.4,13.2,0.56,0.607,4.7,5.9,0.797,0.4,6.2,6.6,6.2,1.3,0.3,3.9,2.1,32.8,115.0,117.0,
lavinza01,17.0,Zach LaVine,29.0,SAC,SG,32.0,32.0,1170.0,11.0,21.4,0.511,4.3,9.7,0.446,6.6,11.8,0.564,0.611,3.8,4.3,0.874,0.4,4.3,4.7,5.1,0.8,0.1,3.6,2.4,30.0,117.0,121.0,
gilgesh01,18.0,Shai Gilgeous-Alexander,26.0,OKC,PG,76.0,76.0,2598.0,15.9,30.6,0.519,3.0,8.0,0.375,12.9,22.6,0.571,0.569,11.1,12.4,0.898,1.2,5.8,7.0,9.0,2.4,1.4,3.4,3.0,45.9,129.0,107.0,"MVP-1,DPOY-10,CPOY-8,AS,NBA1"
