player_id,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P (% of FGA),0-3 (% of FGA),3-10 (% of FGA),10-16 (% of FGA),16-3P (% of FGA),3P (% of FGA),2P (FG%),0-3 (FG%),3-10 (FG%),10-16 (FG%),16-3P (FG%),3P (FG%),2P (% AST'd),3P (% AST'd),Dunks %FGA,Dunks #,%3PA (Corner 3s),3P% (Corner 3s),Half Court Att.,Half Court Md.,Awards,Column_31
cartodj01,537.0,Leonard Miller,21.0,MIN,SF,13.0,0.0,32.0,0.4,10.9,0.667,0.4,0.2,0.067,0.0,0.333,0.6,0.667,0.667,0.0,,0.0,0.667,,0.067,1.0,0.0,,0.0,0.0,
mcgowbr01,538.0,Ulrich Chomche,19.0,TOR,PF,7.0,0.0,32.0,0.4,6.9,1.0,0.4,0.2,0.4,0.0,0.0,0.4,0.5,0.0,0.5,,,1.0,,0.2,1.0,,,0.0,0.0,
millele01,539.0,Jalen Bridges,23.0,PHO,SF,8.0,0.0,30.0,0.286,25.3,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,0.286,,1.0,0.0,0.0,0.429,0.667,0.0,0.0,
chomcul01,540.0,Jahmir Young,24.0,CHI,PG,6.0,0.0,30.0,0.8,11.9,0.6,0.6,0.0,0.0,0.0,0.4,1.0,1.0,,,,0.5,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,
bridgja01,541.0,Kevin McCullar Jr.,23.0,NYK,SF,4.0,0.0,29.0,0.286,9.4,0.857,0.143,0.429,0.286,0.0,0.143,0.333,1.0,0.333,0.0,,0.0,0.5,,0.0,0.0,0.0,,0.0,0.0,
youngja05,542.0,Trentyn Flowers,19.0,LAC,SF,6.0,0.0,27.0,0.364,10.3,0.818,0.182,0.364,0.182,0.091,0.182,0.444,0.5,0.5,0.5,0.0,0.0,0.5,,0.091,1.0,0.5,0.0,0.0,0.0,
mcculke01,543.0,Emanuel Miller,24.0,CHI,PF,6.0,0.0,25.0,0.5,4.7,0.875,0.75,0.125,0.0,0.0,0.125,0.571,0.5,1.0,,,0.0,0.75,,0.125,1.0,0.0,,0.0,0.0,
flowetr01,544.0,Daniss Jenkins,23.0,DET,PG,7.0,0.0,23.0,0.3,18.5,0.3,0.3,0.0,0.0,0.0,0.7,0.667,0.667,,,,0.143,0.0,0.0,0.0,0.0,0.143,0.0,0.0,0.0,
milleem01,545.0,Anton Watson,24.0,NYK,SF,9.0,0.0,22.0,0.444,6.4,0.889,0.444,0.444,0.0,0.0,0.111,0.5,0.75,0.25,,,0.0,0.75,,0.111,1.0,0.0,,0.0,0.0,
jenkida01,546.0,Tolu Smith,24.0,DET,PF,1.0,0.0,22.0,0.667,1.6,1.0,0.889,0.111,0.0,0.0,0.0,0.667,0.75,0.0,,,,0.667,,0.0,0.0,,,0.0,0.0,
watsoan02,547.0,Malevy Leons,25.0,OKC,SF,6.0,0.0,21.0,0.0,15.3,0.5,0.0,0.5,0.0,0.0,0.5,0.0,,0.0,,,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,
smithto05,548.0,Adama Sanogo,22.0,CHI,C,4.0,0.0,21.0,0.571,2.1,1.0,0.714,0.286,0.0,0.0,0.0,0.571,0.6,0.5,,,,0.5,,0.143,0.0,,,0.0,0.0,
leonsma01,549.0,Taze Moore,26.0,POR,SG,2.0,0.0,20.0,0.2,19.1,0.6,0.2,0.3,0.1,0.0,0.4,0.167,0.5,0.0,0.0,,0.25,0.0,1.0,0.1,1.0,0.0,,1.0,0.0,
sanogad01,550.0,Ron Harper Jr.,24.0,DET,SF,1.0,0.0,17.0,0.125,20.4,0.25,0.125,0.125,0.0,0.0,0.75,0.5,0.0,1.0,,,0.0,1.0,,0.0,0.0,0.5,0.0,0.0,0.0,
mooreta02,551.0,Isaiah Mobley,25.0,PHI,PF,1.0,0.0,17.0,0.286,14.6,0.571,0.143,0.286,0.143,0.0,0.429,0.25,1.0,0.0,0.0,,0.333,0.0,1.0,0.0,0.0,0.333,0.0,0.0,0.0,
harpero02,552.0,Yuri Collins,23.0,GSW,PG,2.0,0.0,16.0,0.333,14.1,1.0,0.0,0.0,0.667,0.333,0.0,0.333,,,0.0,1.0,,0.0,,0.0,0.0,,,0.0,0.0,
mobleis01,553.0,Tristen Newton,23.0,2TM,SG,8.0,0.0,16.0,0.125,13.8,0.625,0.125,0.25,0.25,0.0,0.375,0.2,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,
colliyu01,553.0,Tristen Newton,23.0,IND,SG,5.0,0.0,8.0,0.167,16.8,0.5,0.167,0.167,0.167,0.0,0.5,0.333,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,
newtotr01,553.0,Tristen Newton,23.0,MIN,SG,3.0,0.0,8.0,0.0,10.8,1.0,0.0,0.5,0.5,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,
newtotr01,554.0,Daishen Nix,22.0,MIN,PG,3.0,0.0,13.0,0.0,24.8,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,
newtotr01,555.0,Skal Labissière,28.0,SAC,PF,4.0,0.0,12.0,0.5,15.2,0.75,0.0,0.25,0.5,0.0,0.25,0.333,,0.0,0.5,,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,
nixda01,556.0,Braxton Key,27.0,GSW,SF,3.0,0.0,11.0,0.0,11.5,0.75,0.0,0.5,0.25,0.0,0.25,0.0,,0.0,0.0,,0.0,,,0.25,0.0,0.0,,0.0,0.0,
labissk01,557.0,Cui Yongxi,21.0,BRK,SG,5.0,0.0,10.0,0.143,12.2,0.571,0.429,0.143,0.0,0.0,0.429,0.25,0.333,0.0,,,0.0,1.0,,0.0,0.0,0.667,0.0,0.0,0.0,
keybr01,558.0,Mac McClung,26.0,ORL,SG,2.0,0.0,10.0,0.0,17.6,0.5,0.0,0.5,0.0,0.0,0.5,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,
cuiyo01,559.0,Quincy Olivari,23.0,LAL,PG,2.0,0.0,10.0,0.2,25.8,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,0.2,,1.0,0.0,0.0,0.2,0.0,0.0,0.0,
mccluma01,560.0,Terence Davis,27.0,SAC,SG,1.0,0.0,8.0,0.0,21.1,0.5,0.0,0.0,0.5,0.0,0.5,0.0,,,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.0,
olivaqu01,561.0,Jalen McDaniels,27.0,WAS,SF,4.0,0.0,7.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,
daviste02,562.0,Riley Minix,24.0,SAS,SF,1.0,0.0,7.0,0.0,30.4,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,
mcdanja01,563.0,Isaiah Stevens,24.0,MIA,PG,3.0,0.0,6.0,0.0,17.1,0.5,0.0,0.5,0.0,0.0,0.5,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,
minixri01,564.0,Terry Taylor,25.0,SAC,PF,3.0,0.0,6.0,0.0,5.9,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,,,0.0,0.0,
steveis01,565.0,Jesse Edwards,24.0,MIN,C,2.0,0.0,5.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,
taylote01,566.0,James Wiseman,23.0,IND,C,1.0,0.0,5.0,0.5,14.1,0.75,0.0,0.5,0.0,0.25,0.25,0.667,,1.0,,0.0,0.0,1.0,,0.0,0.0,0.0,,0.0,0.0,
edwarje01,567.0,Alondes Williams,25.0,DET,SG,1.0,0.0,4.0,1.0,13.5,0.5,0.5,0.0,0.0,0.0,0.5,1.0,1.0,,,,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,
wisemja01,568.0,Zyon Pullin,23.0,MEM,SG,3.0,0.0,3.0,0.0,8.8,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,,,0.0,0.0,
willial06,569.0,Jahlil Okafor,29.0,IND,C,1.0,0.0,3.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,
