player_id,Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
baglema01,437.0,Marvin Bagley III,25.0,MEM,PF,12.0,1.0,99.0,6.2,12.7,0.486,0.4,3.3,0.111,5.8,9.5,0.615,0.5,2.9,4.4,0.667,4.0,6.2,10.2,1.5,0.7,1.1,0.4,2.2,15.6,
tshieos01,438.0,Oscar Tshiebwe,25.0,UTA,C,14.0,1.0,255.0,5.9,9.9,0.6,0.0,0.0,,5.9,9.9,0.6,0.6,3.2,4.4,0.742,6.5,10.7,17.2,1.3,1.8,0.1,1.4,3.4,15.1,
timmedr01,439.0,Drew Timme,24.0,BRK,PF,9.0,2.0,254.0,6.4,14.5,0.441,1.3,5.0,0.257,5.1,9.5,0.537,0.485,1.4,2.3,0.625,2.4,6.8,9.2,2.8,0.6,0.1,2.1,3.0,15.4,
baglema02,440.0,Marcus Bagley,23.0,PHI,SF,10.0,4.0,253.0,3.8,9.8,0.391,0.7,4.6,0.156,3.1,5.3,0.595,0.428,1.1,1.4,0.8,3.3,6.7,10.0,1.4,1.3,1.7,1.0,2.3,9.5,
spencca01,441.0,Cam Spencer,24.0,MEM,SG,25.0,1.0,252.0,4.9,11.7,0.415,2.7,7.4,0.365,2.1,4.3,0.5,0.53,2.7,2.7,1.0,1.7,2.6,4.3,4.9,1.3,0.1,0.9,3.3,15.1,
loveke01,442.0,Kevin Love,36.0,MIA,PF,23.0,9.0,251.0,5.9,16.5,0.357,3.4,9.6,0.358,2.4,6.9,0.354,0.461,2.3,3.3,0.696,3.2,10.3,13.5,3.2,2.2,0.6,2.0,3.0,17.5,
spencpa01,443.0,Pat Spencer,28.0,GSW,PG,39.0,0.0,250.0,5.9,14.5,0.406,0.7,3.2,0.227,5.2,11.4,0.456,0.431,1.6,2.2,0.733,2.2,4.5,6.6,6.9,2.0,0.4,2.6,2.9,14.1,
thorjt01,444.0,JT Thor,22.0,2TM,PF,20.0,0.0,249.0,3.6,8.5,0.424,0.9,3.0,0.286,2.7,5.5,0.5,0.475,2.2,3.2,0.682,2.9,4.0,6.9,0.9,1.2,1.3,1.3,2.5,10.3,
thorjt01,444.0,JT Thor,22.0,CLE,PF,9.0,0.0,42.0,7.7,12.9,0.6,2.6,5.1,0.5,5.1,7.7,0.667,0.7,6.0,6.9,0.875,2.6,2.6,5.1,0.9,1.7,2.6,5.1,5.1,24.0,
thorjt01,444.0,JT Thor,22.0,WAS,PF,11.0,0.0,207.0,2.8,7.7,0.364,0.5,2.6,0.2,2.3,5.0,0.448,0.398,1.4,2.4,0.571,3.0,4.3,7.3,0.9,1.0,1.0,0.5,1.9,7.5,
carlsbr01,445.0,Branden Carlson,25.0,OKC,C,32.0,0.0,246.0,6.3,14.2,0.443,3.2,9.7,0.333,3.1,4.5,0.677,0.557,2.0,2.6,0.778,2.5,5.4,7.9,2.0,0.7,3.1,1.0,3.2,17.9,
whiteda01,446.0,Dariq Whitehead,20.0,BRK,SF,20.0,0.0,246.0,5.7,14.0,0.406,4.8,10.8,0.446,0.9,3.2,0.273,0.578,0.4,0.7,0.6,0.6,3.7,4.2,1.8,0.9,0.1,2.2,3.2,16.7,
davisjo06,447.0,Johnny Davis,22.0,WAS,SG,34.0,0.0,242.0,4.8,11.6,0.41,1.0,4.3,0.241,3.7,7.3,0.51,0.455,1.3,2.2,0.6,1.5,4.2,5.7,1.6,2.2,0.9,1.0,2.7,11.9,
martija02,448.0,Jaylen Martin,21.0,2TM,SF,16.0,0.0,239.0,4.7,11.1,0.419,1.1,3.5,0.304,3.6,7.7,0.471,0.466,1.4,1.5,0.9,1.7,5.0,6.6,2.6,1.4,0.0,1.8,2.1,11.7,
martija02,448.0,Jaylen Martin,21.0,BRK,SF,3.0,0.0,5.0,7.2,14.4,0.5,7.2,7.2,1.0,0.0,7.2,0.0,0.75,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,21.6,
martija02,448.0,Jaylen Martin,21.0,WAS,SF,13.0,0.0,234.0,4.6,11.1,0.417,0.9,3.4,0.273,3.7,7.7,0.48,0.458,1.4,1.5,0.9,1.7,5.1,6.8,2.6,1.4,0.0,1.8,2.0,11.5,
hylanbo01,449.0,Bones Hyland,24.0,2TM,PG,24.0,0.0,239.0,7.1,17.8,0.398,4.8,12.4,0.39,2.3,5.4,0.417,0.534,3.5,3.9,0.885,0.8,3.0,3.8,4.8,2.7,0.6,3.8,4.4,22.4,
hylanbo01,449.0,Bones Hyland,24.0,LAC,PG,20.0,0.0,222.0,7.3,18.6,0.391,5.0,13.0,0.388,2.3,5.7,0.4,0.526,3.7,4.2,0.885,0.8,3.1,3.9,4.5,2.9,0.6,3.9,4.2,23.4,
hylanbo01,449.0,Bones Hyland,24.0,MIN,PG,4.0,0.0,17.0,4.2,6.4,0.667,2.1,4.2,0.5,2.1,2.1,1.0,0.833,0.0,0.0,,0.0,2.1,2.1,8.5,0.0,0.0,2.1,6.4,10.6,
tillmxa01,450.0,Xavier Tillman Sr.,26.0,BOS,C,33.0,2.0,231.0,2.0,8.3,0.245,0.8,5.0,0.156,1.2,3.3,0.381,0.292,0.5,0.6,0.75,1.6,5.1,6.7,1.1,1.7,0.8,2.2,2.8,5.3,
templga01,451.0,Garrett Temple,38.0,TOR,SG,28.0,0.0,227.0,2.9,9.5,0.3,1.0,4.4,0.214,1.9,5.1,0.375,0.35,1.7,1.9,0.917,1.4,3.2,4.6,4.9,2.7,0.3,1.6,3.6,8.4,
rhodeja01,452.0,Jared Rhoden,25.0,2TM,SG,14.0,2.0,227.0,6.7,13.8,0.483,1.9,6.2,0.308,4.8,7.6,0.625,0.552,3.5,4.0,0.88,2.2,4.4,6.7,2.5,1.6,0.3,1.4,3.2,18.7,
rhodeja01,452.0,Jared Rhoden,25.0,CHO,SG,4.0,0.0,12.0,6.0,24.0,0.25,0.0,6.0,0.0,6.0,18.0,0.333,0.25,0.0,0.0,,6.0,6.0,12.0,6.0,3.0,0.0,3.0,3.0,12.0,
rhodeja01,452.0,Jared Rhoden,25.0,TOR,SG,10.0,2.0,215.0,6.7,13.2,0.506,2.0,6.2,0.324,4.7,7.0,0.667,0.582,3.7,4.2,0.88,2.0,4.4,6.4,2.3,1.5,0.3,1.3,3.2,19.1,
garzalu01,453.0,Luka Garza,26.0,MIN,C,39.0,0.0,219.0,8.5,17.3,0.495,1.6,5.9,0.278,6.9,11.3,0.609,0.543,3.9,5.8,0.686,5.1,3.8,8.9,1.8,1.0,0.5,2.0,4.8,22.7,
hukpoar01,454.0,Ariel Hukporti,22.0,NYK,C,25.0,1.0,217.0,3.5,5.1,0.677,0.0,0.0,,3.5,5.1,0.677,0.677,1.0,2.2,0.462,2.3,6.1,8.5,1.8,0.2,2.5,3.5,5.3,8.0,
reeseal01,455.0,Alex Reese,25.0,2TM,PF,15.0,0.0,216.0,4.3,9.0,0.481,2.5,6.8,0.366,1.8,2.2,0.846,0.62,1.5,2.0,0.75,1.5,6.3,7.8,0.7,1.7,1.7,1.0,3.5,12.7,
reeseal01,455.0,Alex Reese,25.0,OKC,PF,1.0,0.0,2.0,18.0,18.0,1.0,0.0,0.0,,18.0,18.0,1.0,1.0,0.0,0.0,,18.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,36.0,
reeseal01,455.0,Alex Reese,25.0,PHI,PF,14.0,0.0,214.0,4.2,8.9,0.472,2.5,6.9,0.366,1.7,2.0,0.833,0.613,1.5,2.0,0.75,1.3,6.4,7.7,0.7,1.7,1.7,1.0,3.5,12.4,
saricda01,456.0,Dario Šarić,30.0,DEN,C,16.0,4.0,210.0,3.6,9.9,0.362,1.2,4.5,0.269,2.4,5.5,0.438,0.422,1.2,1.7,0.7,2.4,6.2,8.6,3.9,1.2,0.2,2.6,3.3,9.6,
flaglad01,457.0,Adam Flagler,25.0,OKC,SG,37.0,0.0,203.0,4.4,17.0,0.26,2.5,12.8,0.194,2.0,4.3,0.458,0.333,0.2,0.4,0.5,1.2,3.5,4.8,2.1,1.4,0.5,0.7,2.7,11.5,
okekech01,458.0,Chuma Okeke,26.0,2TM,PF,9.0,3.0,196.0,3.7,7.3,0.5,2.0,5.1,0.393,1.7,2.2,0.75,0.638,0.4,0.6,0.667,3.9,4.8,8.6,2.8,0.9,0.7,0.6,0.9,9.7,
okekech01,458.0,Chuma Okeke,26.0,PHI,PF,7.0,3.0,171.0,3.8,6.9,0.545,2.1,4.6,0.455,1.7,2.3,0.727,0.697,0.4,0.6,0.667,4.2,4.8,9.1,2.7,1.1,0.6,0.6,1.1,10.1,
okekech01,458.0,Chuma Okeke,26.0,CLE,PF,2.0,0.0,25.0,2.9,10.1,0.286,1.4,8.6,0.167,1.4,1.4,1.0,0.357,0.0,0.0,,1.4,4.3,5.8,2.9,0.0,1.4,0.0,0.0,7.2,
peterdr01,459.0,Drew Peterson,25.0,BOS,PF,25.0,1.0,186.0,3.3,7.9,0.415,2.5,6.4,0.394,0.8,1.5,0.5,0.573,1.4,1.7,0.778,1.7,6.0,7.7,2.5,1.0,0.4,1.5,3.5,10.5,
fultzma01,460.0,Markelle Fultz,26.0,SAC,PG,21.0,0.0,184.0,5.5,13.1,0.418,0.8,1.6,0.5,4.7,11.5,0.407,0.448,0.2,0.2,1.0,1.2,2.7,3.9,5.3,2.0,0.4,2.9,2.3,11.9,
quinole01,461.0,Lester Quiñones,24.0,2TM,SG,13.0,0.0,183.0,6.1,15.3,0.397,2.6,8.7,0.295,3.5,6.7,0.529,0.481,2.2,2.6,0.846,0.8,3.0,3.7,4.7,0.6,0.4,2.8,3.5,16.9,
quinole01,461.0,Lester Quiñones,24.0,PHI,SG,4.0,0.0,17.0,8.5,16.9,0.5,0.0,6.4,0.0,8.5,10.6,0.8,0.5,2.1,2.1,1.0,6.4,2.1,8.5,2.1,0.0,0.0,8.5,0.0,19.1,
quinole01,461.0,Lester Quiñones,24.0,NOP,SG,9.0,0.0,166.0,5.9,15.2,0.386,2.8,8.9,0.317,3.0,6.3,0.483,0.479,2.2,2.6,0.833,0.2,3.0,3.3,5.0,0.7,0.4,2.2,3.9,16.7,
jamesbr02,462.0,Bronny James,20.0,LAL,SG,27.0,1.0,181.0,4.2,13.3,0.313,1.8,6.4,0.281,2.4,7.0,0.343,0.381,2.2,2.8,0.786,0.8,2.8,3.6,4.4,1.8,0.6,2.6,2.6,12.3,
freemen01,463.0,Enrique Freeman,24.0,IND,PF,22.0,1.0,181.0,3.2,7.4,0.432,0.2,2.0,0.1,3.0,5.4,0.556,0.446,2.6,3.8,0.684,2.2,3.8,6.0,1.8,0.6,0.6,1.2,4.2,9.1,
swideco01,464.0,Cole Swider,25.0,2TM,SF,10.0,0.0,169.0,4.7,13.4,0.349,3.2,10.0,0.319,1.5,3.4,0.438,0.468,0.0,0.2,0.0,1.1,4.7,5.8,0.6,0.9,0.4,0.9,2.6,12.6,
swideco01,464.0,Cole Swider,25.0,DET,SF,2.0,0.0,13.0,0.0,13.8,0.0,0.0,13.8,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,5.5,5.5,2.8,0.0,0.0,0.0,2.8,0.0,
swideco01,464.0,Cole Swider,25.0,TOR,SF,8.0,0.0,156.0,5.1,13.4,0.379,3.5,9.7,0.357,1.6,3.7,0.438,0.509,0.0,0.2,0.0,1.2,4.6,5.8,0.5,0.9,0.5,0.9,2.5,13.6,
nowelja01,465.0,Jaylen Nowell,25.0,NOP,SG,8.0,0.0,168.0,5.6,15.6,0.356,1.7,5.8,0.296,3.9,9.9,0.391,0.411,1.5,2.4,0.636,1.3,3.0,4.3,3.9,0.2,0.9,1.7,1.9,14.4,
morrima02,466.0,Markieff Morris,35.0,2TM,PF,15.0,2.0,165.0,4.6,15.3,0.3,2.0,7.9,0.25,2.6,7.4,0.353,0.364,1.1,1.3,0.833,0.7,4.4,5.0,4.6,0.4,0.7,1.1,3.5,12.2,
morrima02,466.0,Markieff Morris,35.0,DAL,PF,7.0,0.0,41.0,4.4,19.3,0.227,1.8,11.4,0.154,2.6,7.9,0.333,0.273,0.0,0.0,,0.0,7.0,7.0,3.5,0.9,0.9,1.8,1.8,10.5,
morrima02,466.0,Markieff Morris,35.0,LAL,PF,8.0,2.0,124.0,4.6,13.9,0.333,2.0,6.7,0.304,2.6,7.3,0.36,0.406,1.5,1.7,0.833,0.9,3.5,4.4,4.9,0.3,0.6,0.9,4.1,12.8,
hayeski01,467.0,Killian Hayes,23.0,BRK,PG,6.0,5.0,162.0,4.0,9.6,0.419,1.8,4.7,0.381,2.2,4.9,0.455,0.512,2.2,2.7,0.833,1.1,2.9,4.0,6.9,0.9,0.9,2.0,2.9,12.0,
beaucma01,468.0,MarJon Beauchamp,24.0,3TM,SF,35.0,0.0,156.0,6.2,15.0,0.415,2.3,6.7,0.345,3.9,8.3,0.472,0.492,3.5,4.6,0.75,2.5,7.6,10.2,2.5,0.9,0.2,3.5,3.2,18.2,
beaucma01,468.0,MarJon Beauchamp,24.0,MIL,SF,26.0,0.0,122.0,5.3,13.9,0.383,2.1,6.2,0.333,3.2,7.7,0.423,0.457,2.7,3.5,0.75,2.1,7.4,9.4,2.4,0.9,0.3,3.8,3.0,15.3,
beaucma01,468.0,MarJon Beauchamp,24.0,LAC,SF,3.0,0.0,17.0,8.5,14.8,0.571,4.2,6.4,0.667,4.2,8.5,0.5,0.714,4.2,8.5,0.5,4.2,2.1,6.4,4.2,0.0,0.0,2.1,4.2,25.4,
beaucma01,468.0,MarJon Beauchamp,24.0,NYK,SF,6.0,0.0,17.0,10.6,23.3,0.455,2.1,10.6,0.2,8.5,12.7,0.667,0.5,8.5,8.5,1.0,4.2,14.8,19.1,2.1,2.1,0.0,2.1,4.2,31.8,
stevela01,469.0,Lamar Stevens,27.0,MEM,PF,17.0,1.0,155.0,6.7,14.6,0.46,1.9,6.3,0.296,4.9,8.4,0.583,0.524,1.9,2.6,0.727,0.9,7.9,8.8,1.9,1.2,0.7,2.3,3.5,17.2,
etienty01,470.0,Tyson Etienne,25.0,BRK,PG,7.0,0.0,151.0,4.1,12.4,0.327,3.1,10.5,0.295,1.0,1.9,0.5,0.452,1.9,2.4,0.8,0.7,1.4,2.1,2.9,0.7,0.2,1.9,4.1,13.1,
richajo01,471.0,Josh Richardson,31.0,MIA,SG,8.0,0.0,150.0,2.6,9.1,0.289,1.4,5.3,0.273,1.2,3.8,0.313,0.368,1.0,1.0,1.0,1.4,1.4,2.9,2.9,1.9,0.2,1.9,4.1,7.7,
willije02,472.0,Jeenathan Williams,25.0,HOU,SG,20.0,0.0,147.0,6.6,15.2,0.435,1.5,6.4,0.231,5.1,8.8,0.583,0.484,1.2,2.0,0.625,1.2,2.0,3.2,2.2,2.0,1.0,3.4,3.9,15.9,
fernabr01,473.0,Bruno Fernando,26.0,TOR,C,17.0,2.0,147.0,6.4,12.0,0.531,0.0,0.0,,6.4,12.0,0.531,0.531,1.5,2.0,0.75,5.1,7.3,12.5,4.4,1.0,2.2,3.4,6.6,14.2,
leeda03,474.0,Damion Lee,32.0,PHO,SG,25.0,0.0,144.0,6.8,18.5,0.365,2.3,9.2,0.243,4.5,9.2,0.486,0.426,5.0,5.2,0.952,0.7,4.2,5.0,2.7,1.5,0.0,2.5,1.5,20.7,
brissos01,475.0,Oshae Brissett,26.0,PHI,SF,6.0,2.0,142.0,4.8,9.9,0.487,1.5,4.6,0.333,3.3,5.3,0.619,0.564,2.0,3.5,0.571,1.8,3.8,5.6,1.0,1.0,0.8,2.0,3.5,13.2,
harklej01,476.0,Elijah Harkless,24.0,UTA,SG,10.0,0.0,138.0,2.9,9.1,0.314,1.8,6.5,0.28,1.0,2.6,0.4,0.414,0.8,1.6,0.5,2.3,3.1,5.5,2.1,2.6,0.3,0.8,4.7,8.3,
nancepe01,477.0,Pete Nance,24.0,2TM,C,13.0,1.0,138.0,3.7,8.3,0.438,2.3,6.3,0.375,1.3,2.1,0.625,0.578,0.3,0.5,0.5,1.3,4.2,5.5,2.6,0.5,0.5,1.0,4.4,9.9,
nancepe01,477.0,Pete Nance,24.0,PHI,C,7.0,0.0,68.0,2.6,7.9,0.333,2.1,6.4,0.333,0.5,1.6,0.333,0.467,0.5,1.1,0.5,1.1,4.2,5.3,1.6,0.5,0.0,0.0,5.3,7.9,
nancepe01,477.0,Pete Nance,24.0,MIL,PF,6.0,1.0,70.0,4.6,8.7,0.529,2.6,6.2,0.417,2.1,2.6,0.8,0.676,0.0,0.0,,1.5,4.1,5.7,3.6,0.5,1.0,2.1,3.6,11.8,
cancavl01,478.0,Vlatko Čančar,27.0,DEN,PF,13.0,0.0,136.0,2.6,6.9,0.385,1.1,4.0,0.267,1.6,2.9,0.545,0.462,0.0,0.0,,1.6,6.9,8.5,2.4,0.8,0.5,2.9,2.6,6.4,
kelleky01,479.0,Kylor Kelley,27.0,2TM,C,11.0,2.0,126.0,4.0,6.3,0.636,0.0,0.0,,4.0,6.3,0.636,0.636,1.7,2.9,0.6,3.4,7.7,11.1,1.4,0.3,0.9,1.1,4.3,9.7,
kelleky01,479.0,Kylor Kelley,27.0,DAL,C,8.0,1.0,67.0,5.4,7.0,0.769,0.0,0.0,,5.4,7.0,0.769,0.769,2.1,3.2,0.667,4.3,7.0,11.3,1.1,0.0,1.1,0.5,4.3,12.9,
kelleky01,479.0,Kylor Kelley,27.0,NOP,C,3.0,1.0,59.0,2.4,5.5,0.444,0.0,0.0,,2.4,5.5,0.444,0.444,1.2,2.4,0.5,2.4,8.5,11.0,1.8,0.6,0.6,1.8,4.3,6.1,
ducasal01,480.0,Alex Ducas,24.0,OKC,SG,21.0,0.0,125.0,3.5,8.6,0.4,2.9,6.0,0.476,0.6,2.6,0.222,0.567,0.6,0.6,1.0,2.6,4.9,7.5,1.4,1.4,0.0,1.2,3.5,10.4,
jonessp01,481.0,Spencer Jones,23.0,DEN,SF,20.0,0.0,125.0,3.2,9.8,0.324,0.3,4.9,0.059,2.9,4.9,0.588,0.338,0.9,0.9,1.0,2.3,2.6,4.9,1.4,1.4,1.4,1.4,4.9,7.5,
bufkiko01,482.0,Kobe Bufkin,21.0,ATL,SG,10.0,0.0,124.0,5.2,13.6,0.383,1.2,5.5,0.211,4.1,8.1,0.5,0.426,3.8,5.2,0.722,1.5,4.6,6.1,4.9,0.9,0.6,2.3,2.6,15.4,
smithty02,483.0,Tyler Smith,20.0,MIL,PF,23.0,0.0,122.0,7.1,14.8,0.48,3.8,8.9,0.433,3.2,5.9,0.55,0.61,1.8,2.4,0.75,1.8,5.6,7.4,1.2,0.9,1.2,2.4,3.2,19.8,
meltode01,484.0,De'Anthony Melton,26.0,GSW,SG,6.0,2.0,121.0,6.5,16.1,0.407,3.9,10.4,0.371,2.7,5.7,0.474,0.528,1.5,2.4,0.625,1.8,4.2,6.0,5.1,2.1,0.6,3.0,5.4,18.4,
brownmo01,485.0,Moses Brown,25.0,2TM,C,13.0,2.0,119.0,10.3,14.8,0.694,0.0,0.0,,10.3,14.8,0.694,0.694,2.4,3.3,0.727,3.6,9.7,13.3,0.6,1.8,1.2,3.3,5.1,23.0,
brownmo01,485.0,Moses Brown,25.0,IND,C,9.0,0.0,46.0,10.2,15.7,0.65,0.0,0.0,,10.2,15.7,0.65,0.65,2.3,3.9,0.6,3.1,7.0,10.2,0.0,1.6,0.8,4.7,4.7,22.7,
brownmo01,485.0,Moses Brown,25.0,DAL,C,4.0,2.0,73.0,10.4,14.3,0.724,0.0,0.0,,10.4,14.3,0.724,0.724,2.5,3.0,0.833,3.9,11.3,15.3,1.0,2.0,1.5,2.5,5.4,23.2,
