player_id,Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
carusal01,266.0,Alex Caruso,30.0,OKC,SG,54.0,3.0,1041.0,15.9,0.568,0.541,0.162,4.0,12.2,8.2,16.6,4.0,2.9,9.9,15.2,1.6,2.3,3.9,0.18,0.1,3.9,4.0,1.6,6MOY-8
murrakr01,267.0,Kris Murray,24.0,POR,SF,69.0,6.0,1040.0,9.1,0.472,0.43,0.204,7.7,11.3,9.5,9.0,1.6,1.5,12.4,13.9,-0.2,0.9,0.7,0.033,-3.1,0.1,-3.0,-0.3,
murrade01,268.0,Dejounte Murray,28.0,NOP,PG,31.0,31.0,1012.0,15.4,0.494,0.352,0.251,1.8,20.1,10.7,34.6,3.0,1.1,16.2,27.3,-0.7,0.9,0.2,0.009,-1.3,-0.3,-1.6,0.1,
suggsja01,269.0,Jalen Suggs,23.0,ORL,PG,35.0,35.0,1002.0,14.4,0.536,0.503,0.229,2.5,14.2,8.1,21.6,2.5,3.2,16.2,27.5,-0.7,1.8,1.1,0.052,-0.8,1.3,0.4,0.6,
anderky01,270.0,Kyle Anderson,31.0,2TM,PF,61.0,4.0,1002.0,15.1,0.538,0.231,0.215,5.7,16.8,11.2,20.7,2.0,3.1,10.0,15.9,1.3,1.5,2.8,0.135,-0.6,2.2,1.5,0.9,
anderky01,270.0,Kyle Anderson,31.0,GSW,PF,36.0,3.0,541.0,14.8,0.522,0.308,0.16,5.2,17.0,10.9,21.2,2.3,3.5,10.0,15.7,0.6,0.9,1.5,0.132,-0.3,2.6,2.3,0.6,
anderky01,270.0,Kyle Anderson,31.0,MIA,SF,25.0,1.0,461.0,15.3,0.557,0.134,0.284,6.3,16.6,11.5,20.1,1.5,2.7,10.1,16.1,0.7,0.6,1.3,0.139,-1.0,1.7,0.6,0.3,
bostobr01,271.0,Brandon Boston Jr.,23.0,NOP,SG,42.0,10.0,993.0,12.7,0.535,0.367,0.223,3.0,11.9,7.3,13.7,2.6,0.9,11.1,20.0,0.2,0.5,0.7,0.033,-2.3,-0.2,-2.5,-0.1,
terryda01,272.0,Dalen Terry,22.0,CHI,SG,73.0,5.0,987.0,9.6,0.546,0.388,0.257,4.1,9.0,6.6,12.7,2.1,1.3,15.1,14.9,0.2,0.8,1.1,0.052,-4.0,0.2,-3.8,-0.5,
jacksan01,273.0,Andre Jackson Jr.,23.0,MIL,SG,67.0,43.0,980.0,8.6,0.554,0.386,0.122,7.5,12.5,10.1,10.9,1.7,1.3,21.8,11.9,0.1,1.0,1.2,0.059,-3.6,0.2,-3.4,-0.3,
colliza01,274.0,Zach Collins,27.0,2TM,PF,64.0,12.0,977.0,16.0,0.605,0.351,0.258,11.1,19.9,15.6,15.6,1.4,2.6,15.1,17.1,1.7,1.0,2.7,0.132,-0.8,0.8,0.0,0.5,
colliza01,274.0,Zach Collins,27.0,SAS,C,36.0,4.0,425.0,14.4,0.566,0.348,0.265,9.6,15.9,12.7,16.9,1.6,3.2,13.5,17.1,0.6,0.4,1.0,0.11,-1.6,1.5,-0.1,0.2,
colliza01,274.0,Zach Collins,27.0,CHI,PF,28.0,8.0,552.0,17.2,0.635,0.353,0.253,12.4,23.0,17.8,14.6,1.3,2.2,16.4,17.1,1.1,0.6,1.7,0.149,-0.1,0.2,0.1,0.3,
jackstr02,275.0,Trayce Jackson-Davis,24.0,GSW,C,62.0,37.0,967.0,18.5,0.587,0.01,0.338,13.2,21.7,17.3,16.1,1.2,3.7,11.5,17.1,1.9,1.4,3.4,0.167,0.3,0.9,1.2,0.8,
bryanth01,276.0,Thomas Bryant,27.0,2TM,C,66.0,8.0,963.0,17.2,0.614,0.461,0.199,9.7,19.2,14.5,7.6,1.4,3.9,7.9,17.1,1.8,1.2,3.1,0.152,0.7,0.0,0.6,0.6,
bryanth01,276.0,Thomas Bryant,27.0,MIA,C,10.0,0.0,115.0,15.8,0.624,0.607,0.393,5.8,24.8,15.4,4.8,0.4,7.5,5.7,13.4,0.2,0.2,0.4,0.171,-1.1,1.1,0.0,0.1,
bryanth01,276.0,Thomas Bryant,27.0,IND,C,56.0,8.0,848.0,17.4,0.613,0.447,0.181,10.2,18.5,14.4,8.0,1.5,3.4,8.1,17.6,1.6,1.0,2.6,0.15,0.9,-0.2,0.7,0.6,
smithja04,277.0,Jalen Smith,24.0,CHI,C,64.0,2.0,962.0,18.7,0.586,0.544,0.218,9.9,28.7,19.5,9.7,0.8,4.0,7.6,21.0,1.7,1.3,2.9,0.146,1.5,-0.6,0.9,0.7,
clarkjo01,278.0,Jordan Clarkson,32.0,UTA,SG,37.0,9.0,962.0,14.5,0.54,0.471,0.29,2.8,10.4,6.6,22.9,1.5,0.9,13.4,27.8,0.2,0.2,0.4,0.021,0.6,-2.1,-1.5,0.1,
paytoga02,279.0,Gary Payton II,32.0,GSW,SG,62.0,11.0,927.0,16.2,0.635,0.319,0.128,6.0,15.8,10.7,13.5,2.7,1.7,11.0,16.1,1.5,1.5,3.0,0.155,-0.5,2.0,1.4,0.8,
millebr02,280.0,Brandon Miller,22.0,CHO,SF,27.0,27.0,924.0,14.0,0.54,0.597,0.161,2.8,12.5,7.6,18.3,1.5,2.1,12.6,27.7,-0.2,0.7,0.4,0.023,0.8,-0.8,0.0,0.4,
brownbr01,281.0,Bruce Brown,28.0,2TM,PG,41.0,12.0,922.0,10.9,0.504,0.262,0.21,4.5,14.9,9.6,12.8,1.8,1.0,10.4,17.2,0.1,0.6,0.7,0.035,-3.2,-0.6,-3.8,-0.4,
brownbr01,281.0,Bruce Brown,28.0,TOR,PG,18.0,0.0,353.0,12.3,0.525,0.275,0.221,5.0,15.9,10.3,11.3,2.3,0.8,11.7,19.3,0.0,0.4,0.4,0.06,-2.7,0.2,-2.5,0.0,
