player_id,year,Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG_pct,_3P,_3PA,_3P_pct,_2P,_2PA,_2P_pct,eFG_pct,FT,FTA,FT_pct,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp_Dbl,6MOY,AS,CPOY,DEF1,DEF2,DPOY,MIP,MVP,NBA1,NBA2,NBA3,ROY
banchpa01,2024,16.0,Paolo Banchero,21.0,ORL,PF,80.0,80.0,2799.0,640.0,1407.0,0.455,119.0,351.0,0.339,521.0,1056.0,0.493,0.497,405.0,559.0,0.725,82.0,472.0,554.0,431.0,71.0,47.0,247.0,153.0,1804.0,2.0,0,1,0,0,0,0,0,0,0,0,0,0
lillada01,2024,17.0,Damian Lillard,33.0,MIL,PG,73.0,73.0,2579.0,541.0,1277.0,0.424,220.0,622.0,0.354,321.0,655.0,0.49,0.51,473.0,514.0,0.92,36.0,284.0,320.0,508.0,72.0,18.0,193.0,134.0,1775.0,0.0,0,1,11,0,0,0,0,0,0,0,0,0
murrade01,2024,18.0,Dejounte Murray,27.0,ATL,SG,78.0,78.0,2783.0,672.0,1463.0,0.459,201.0,554.0,0.363,471.0,909.0,0.518,0.528,208.0,262.0,0.794,62.0,354.0,416.0,502.0,111.0,24.0,201.0,138.0,1753.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0
siakapa01,2024,19.0,Pascal Siakam,29.0,2TM,PF,80.0,80.0,2657.0,681.0,1271.0,0.536,85.0,246.0,0.346,596.0,1025.0,0.581,0.569,290.0,396.0,0.732,139.0,426.0,565.0,342.0,63.0,25.0,141.0,193.0,1737.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0
siakapa01,2024,19.0,Pascal Siakam,29.0,TOR,PF,39.0,39.0,1354.0,325.0,623.0,0.522,46.0,145.0,0.317,279.0,478.0,0.584,0.559,169.0,223.0,0.758,54.0,192.0,246.0,190.0,32.0,10.0,83.0,87.0,865.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
siakapa01,2024,19.0,Pascal Siakam,29.0,IND,PF,41.0,41.0,1303.0,356.0,648.0,0.549,39.0,101.0,0.386,317.0,547.0,0.58,0.579,121.0,173.0,0.699,85.0,234.0,319.0,152.0,31.0,15.0,58.0,106.0,872.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0
georgpa01,2024,20.0,Paul George,33.0,LAC,PF,74.0,74.0,2502.0,582.0,1236.0,0.471,243.0,588.0,0.413,339.0,648.0,0.523,0.569,264.0,291.0,0.907,37.0,351.0,388.0,262.0,113.0,37.0,153.0,202.0,1671.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0
leonaka01,2024,21.0,Kawhi Leonard,32.0,LAC,SF,68.0,68.0,2330.0,610.0,1162.0,0.525,140.0,336.0,0.417,470.0,826.0,0.569,0.585,253.0,286.0,0.885,84.0,332.0,416.0,244.0,111.0,59.0,119.0,97.0,1613.0,1.0,0,1,0,0,0,0,0,0,0,1,0,0
brownja02,2024,22.0,Jaylen Brown,27.0,BOS,SF,70.0,70.0,2343.0,627.0,1256.0,0.499,145.0,410.0,0.354,482.0,846.0,0.57,0.557,211.0,300.0,0.703,84.0,303.0,387.0,249.0,83.0,37.0,166.0,185.0,1610.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0
greenja05,2024,23.0,Jalen Green,21.0,HOU,SG,82.0,82.0,2601.0,563.0,1332.0,0.423,201.0,605.0,0.332,362.0,727.0,0.498,0.498,283.0,352.0,0.804,41.0,382.0,423.0,291.0,66.0,28.0,191.0,115.0,1610.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0
