player_id,year,Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG_pct,_3P,_3PA,_3P_pct,_2P,_2PA,_2P_pct,eFG_pct,FT,FTA,FT_pct,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,6MOY,AS,CPOY,DEF1,DEF2,DPOY,MIP,MVP,NBA1,NBA2,NBA3,ROY
jemistr01,2025,405.0,Trey Jemison,25.0,2TM,C,38.0,0.0,392.0,5.1,9.2,0.554,0.0,0.0,,5.1,9.2,0.554,0.554,1.6,4.1,0.394,5.5,7.6,13.1,2.0,1.1,1.9,3.0,8.6,11.8,104.0,116.0,0,0,0,0,0,0,0,0,0,0,0,0
jemistr01,2025,405.0,Trey Jemison,25.0,NOP,C,16.0,0.0,166.0,4.4,9.3,0.469,0.0,0.0,,4.4,9.3,0.469,0.469,2.3,6.1,0.381,6.4,6.4,12.8,2.9,2.0,1.8,2.9,7.9,11.1,100.0,118.0,0,0,0,0,0,0,0,0,0,0,0,0
jemistr01,2025,405.0,Trey Jemison,25.0,LAL,C,22.0,0.0,226.0,5.7,9.1,0.619,0.0,0.0,,5.7,9.1,0.619,0.619,1.1,2.6,0.417,4.8,8.5,13.3,1.3,0.4,2.0,3.0,9.1,12.4,108.0,115.0,0,0,0,0,0,0,0,0,0,0,0,0
jacksre01,2025,406.0,Reggie Jackson,34.0,PHI,PG,31.0,1.0,384.0,6.7,17.1,0.391,3.2,9.5,0.338,3.5,7.6,0.458,0.485,0.9,1.2,0.778,1.0,4.4,5.4,5.8,2.1,0.4,2.2,4.4,17.5,104.0,120.0,0,0,0,0,0,0,0,0,0,0,0,0
scheiba01,2025,407.0,Baylor Scheierman,24.0,BOS,SG,31.0,2.0,384.0,5.1,14.4,0.355,3.4,10.7,0.317,1.7,3.7,0.464,0.473,1.2,1.6,0.75,2.5,6.0,8.5,4.3,2.2,0.3,1.6,2.9,14.8,111.0,111.0,0,0,0,0,0,0,0,0,0,0,0,0
jacksqu01,2025,408.0,Quenton Jackson,26.0,IND,PG,28.0,7.0,381.0,7.3,15.4,0.475,1.9,5.0,0.375,5.4,10.3,0.524,0.537,3.9,5.0,0.775,1.8,3.8,5.6,6.7,2.6,0.6,2.0,5.4,20.4,121.0,114.0,0,0,0,0,0,0,0,0,0,0,0,0
lenal01,2025,409.0,Alex Len,31.0,2TM,C,46.0,7.0,380.0,4.1,8.1,0.508,0.3,1.2,0.222,3.9,7.0,0.556,0.524,1.0,2.2,0.471,4.9,7.3,12.2,4.9,1.2,2.7,2.6,7.2,9.5,114.0,114.0,0,0,0,0,0,0,0,0,0,0,0,0
lenal01,2025,409.0,Alex Len,31.0,SAC,C,36.0,3.0,258.0,4.2,7.8,0.537,0.2,1.1,0.167,4.0,6.6,0.6,0.549,1.3,2.5,0.538,4.7,7.4,12.1,5.7,1.5,3.4,2.1,6.6,9.9,124.0,113.0,0,0,0,0,0,0,0,0,0,0,0,0
lenal01,2025,409.0,Alex Len,31.0,LAL,C,10.0,4.0,122.0,4.0,8.9,0.455,0.4,1.2,0.333,3.6,7.7,0.474,0.477,0.4,1.6,0.25,5.2,7.3,12.5,3.2,0.4,1.2,3.6,8.5,8.9,96.0,117.0,0,0,0,0,0,0,0,0,0,0,0,0
furphjo01,2025,410.0,Johnny Furphy,20.0,IND,SG,50.0,0.0,379.0,4.4,11.7,0.38,1.9,6.3,0.3,2.5,5.3,0.476,0.462,2.3,2.8,0.818,2.9,6.1,9.0,2.4,2.3,1.4,1.5,5.2,13.1,108.0,113.0,0,0,0,0,0,0,0,0,0,0,0,0
bassech01,2025,411.0,Charles Bassey,24.0,SAS,C,36.0,1.0,376.0,8.7,15.0,0.581,0.0,0.0,,8.7,15.0,0.581,0.581,2.7,4.2,0.636,7.2,12.3,19.5,2.2,1.8,3.9,3.0,6.4,20.2,118.0,110.0,0,0,0,0,0,0,0,0,0,0,0,0
barlodo01,2025,412.0,Dominick Barlow,21.0,ATL,PF,35.0,4.0,375.0,7.5,14.1,0.531,0.9,3.4,0.259,6.6,10.7,0.616,0.562,2.6,4.1,0.636,4.4,6.2,10.6,2.4,1.1,2.0,0.6,5.9,18.5,129.0,116.0,0,0,0,0,0,0,0,0,0,0,0,0
exumda01,2025,413.0,Dante Exum,29.0,DAL,PG,20.0,13.0,372.0,8.3,17.4,0.478,3.0,6.9,0.434,5.3,10.5,0.506,0.563,3.0,4.0,0.742,0.5,3.8,4.3,7.3,1.6,0.4,2.9,4.4,22.6,116.0,119.0,0,0,0,0,0,0,0,0,0,0,0,0
baughda01,2025,414.0,Damion Baugh,24.0,CHO,SG,15.0,2.0,370.0,5.6,17.3,0.323,1.6,7.4,0.214,4.0,9.8,0.405,0.369,1.7,2.0,0.867,1.9,4.8,6.6,7.4,2.0,0.3,4.1,2.9,14.5,87.0,118.0,0,0,0,0,0,0,0,0,0,0,0,0
sprinja01,2025,415.0,Jaden Springer,22.0,2TM,PG,43.0,2.0,365.0,4.7,12.0,0.389,1.6,6.4,0.25,3.1,5.6,0.548,0.456,3.6,5.1,0.711,2.3,5.5,7.8,4.4,3.2,0.5,2.1,5.6,14.6,110.0,114.0,0,0,0,0,0,0,0,0,0,0,0,0
sprinja01,2025,415.0,Jaden Springer,22.0,BOS,SG,26.0,0.0,141.0,4.3,12.1,0.353,2.1,6.8,0.316,2.1,5.3,0.4,0.441,5.3,7.5,0.714,1.4,7.1,8.5,3.6,4.3,0.4,1.4,6.0,16.0,115.0,106.0,0,0,0,0,0,0,0,0,0,0,0,0
sprinja01,2025,415.0,Jaden Springer,22.0,UTA,PG,17.0,2.0,224.0,4.9,12.0,0.411,1.3,6.2,0.207,3.6,5.8,0.63,0.464,2.6,3.6,0.706,2.8,4.5,7.3,4.9,2.6,0.6,2.6,5.4,13.7,107.0,119.0,0,0,0,0,0,0,0,0,0,0,0,0
williro04,2025,416.0,Robert Williams,27.0,POR,C,20.0,3.0,351.0,6.9,10.8,0.641,0.1,0.4,0.333,6.8,10.4,0.653,0.647,2.1,2.4,0.882,4.8,11.5,16.3,2.9,1.8,4.6,2.4,4.3,16.1,130.0,107.0,0,0,0,0,0,0,0,0,0,0,0,0
mcderdo01,2025,417.0,Doug McDermott,33.0,SAC,SF,42.0,3.0,342.0,7.1,16.7,0.427,6.3,14.4,0.436,0.9,2.3,0.375,0.615,0.4,0.7,0.6,0.4,2.7,3.1,1.0,0.6,0.3,0.9,4.3,21.0,119.0,122.0,0,0,0,0,0,0,0,0,0,0,0,0
kolokch01,2025,418.0,Christian Koloko,24.0,LAL,C,37.0,0.0,342.0,5.8,9.5,0.606,0.0,0.6,0.0,5.8,8.9,0.645,0.606,1.4,2.0,0.714,5.0,8.2,13.2,2.3,1.2,2.3,1.7,6.3,12.9,128.0,113.0,0,0,0,0,0,0,0,0,0,0,0,0
shannte01,2025,419.0,Terrence Shannon Jr.,24.0,MIN,SG,32.0,1.0,339.0,8.0,16.6,0.482,1.6,4.5,0.355,6.4,12.1,0.53,0.531,2.5,3.1,0.81,1.5,5.4,6.8,4.7,1.0,0.7,2.2,3.9,20.1,114.0,114.0,0,0,0,0,0,0,0,0,0,0,0,0
brookke02,2025,420.0,Keion Brooks Jr.,24.0,NOP,SF,14.0,6.0,332.0,7.7,15.9,0.486,2.0,6.3,0.326,5.7,9.6,0.591,0.55,3.2,4.4,0.733,1.8,6.7,8.5,1.9,1.5,1.5,1.8,4.4,20.7,114.0,120.0,0,0,0,0,0,0,0,0,0,0,0,0
thomptr01,2025,421.0,Tristan Thompson,33.0,CLE,C,40.0,0.0,328.0,4.5,10.4,0.437,0.0,0.4,0.0,4.5,10.0,0.456,0.437,1.0,4.4,0.233,4.7,15.0,19.6,3.5,0.3,1.6,2.1,5.3,10.1,100.0,109.0,0,0,0,0,0,0,0,0,0,0,0,0
lewisma05,2025,422.0,Maxwell Lewis,22.0,2TM,SF,28.0,1.0,327.0,6.8,16.4,0.417,2.9,7.6,0.38,4.0,8.8,0.448,0.505,1.1,1.5,0.7,2.7,5.6,8.4,2.9,1.4,1.1,2.1,4.4,17.6,104.0,117.0,0,0,0,0,0,0,0,0,0,0,0,0
lewisma05,2025,422.0,Maxwell Lewis,22.0,LAL,SF,7.0,0.0,29.0,3.4,10.2,0.333,0.0,0.0,,3.4,10.2,0.333,0.333,0.0,0.0,,3.4,0.0,3.4,3.4,1.7,0.0,3.4,1.7,6.8,78.0,120.0,0,0,0,0,0,0,0,0,0,0,0,0
lewisma05,2025,422.0,Maxwell Lewis,22.0,BRK,SF,21.0,1.0,298.0,7.2,17.0,0.422,3.2,8.4,0.38,4.0,8.7,0.462,0.515,1.2,1.7,0.7,2.7,6.2,8.9,2.8,1.3,1.2,2.0,4.7,18.7,106.0,116.0,0,0,0,0,0,0,0,0,0,0,0,0
carteje01,2025,423.0,Jevon Carter,29.0,CHI,PG,36.0,1.0,321.0,8.0,21.2,0.377,5.1,15.3,0.333,2.9,6.0,0.488,0.497,1.2,1.5,0.8,0.6,5.1,5.7,5.8,1.9,0.4,1.6,2.2,22.2,107.0,117.0,0,0,0,0,0,0,0,0,0,0,0,0
millspa02,2025,424.0,Patty Mills,36.0,2TM,PG,29.0,0.0,321.0,5.4,14.4,0.375,3.9,11.3,0.347,1.5,3.2,0.476,0.51,2.0,2.1,0.929,0.6,2.7,3.3,3.9,2.0,0.5,2.6,3.6,16.7,105.0,121.0,0,0,0,0,0,0,0,0,0,0,0,0
millspa02,2025,424.0,Patty Mills,36.0,UTA,PG,17.0,0.0,260.0,4.8,14.0,0.342,3.1,10.5,0.298,1.7,3.5,0.474,0.454,0.9,0.9,1.0,0.6,3.3,3.9,3.9,2.2,0.6,3.0,2.2,13.7,92.0,121.0,0,0,0,0,0,0,0,0,0,0,0,0
millspa02,2025,424.0,Patty Mills,36.0,LAC,PG,12.0,0.0,61.0,8.1,16.1,0.5,7.3,14.5,0.5,0.8,1.6,0.5,0.725,6.5,7.3,0.889,0.8,0.0,0.8,4.0,0.8,0.0,0.8,9.7,29.9,156.0,118.0,0,0,0,0,0,0,0,0,0,0,0,0
manntr01,2025,425.0,Tre Mann,23.0,CHO,PG,13.0,0.0,319.0,10.8,24.8,0.435,3.7,9.2,0.4,7.1,15.6,0.455,0.509,2.9,3.2,0.905,1.8,4.0,5.9,6.0,1.1,0.6,3.9,3.7,28.2,105.0,120.0,0,0,0,0,0,0,0,0,0,0,0,0
hoodsja01,2025,426.0,Jalen Hood-Schifino,21.0,2TM,SG,15.0,0.0,315.0,5.8,15.3,0.378,2.2,7.2,0.304,3.6,8.1,0.442,0.449,2.8,3.3,0.857,0.5,3.8,4.2,5.8,0.8,1.1,2.8,3.9,16.6,100.0,122.0,0,0,0,0,0,0,0,0,0,0,0,0
hoodsja01,2025,426.0,Jalen Hood-Schifino,21.0,LAL,SG,2.0,0.0,14.0,3.5,3.5,1.0,0.0,0.0,,3.5,3.5,1.0,1.0,7.0,7.0,1.0,3.5,0.0,3.5,3.5,0.0,3.5,3.5,10.5,14.1,152.0,119.0,0,0,0,0,0,0,0,0,0,0,0,0
