player_id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,Added,Added,Unnamed: 26_level_0
,Rk,Player,Age,Team,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add,Awards
maxeyty01,18.0,Tyrese Maxey,23.0,PHI,PG,70.0,70.0,2626.0,0.45,0.501,0.373,0.524,0.868,0.573,0.266,0.401,95.0,92.0,102.0,96.0,111.0,99.0,109.0,102.0,-63.1,-22.9,"MIP-1,AS"
doncilu01,19.0,Luka Dončić,24.0,DAL,PG,70.0,70.0,2624.0,0.487,0.573,0.382,0.573,0.786,0.617,0.368,0.45,103.0,105.0,104.0,105.0,100.0,106.0,151.0,114.0,86.2,143.4,"MVP-3,CPOY-6,AS,NBA1"
vucevni01,20.0,Nikola Vučević,33.0,CHI,C,76.0,74.0,2610.0,0.484,0.55,0.294,0.522,0.822,0.54,0.107,0.258,102.0,101.0,80.0,95.0,105.0,93.0,44.0,65.0,-59.7,-100.6,
greenja05,21.0,Jalen Green,21.0,HOU,SG,82.0,82.0,2601.0,0.423,0.498,0.332,0.498,0.804,0.541,0.264,0.454,89.0,91.0,91.0,91.0,103.0,93.0,108.0,115.0,-129.0,-114.8,
goberru01,22.0,Rudy Gobert,31.0,MIN,C,76.0,76.0,2593.0,0.661,0.664,0.0,0.661,0.638,0.675,0.635,0.005,139.0,122.0,0.0,121.0,81.0,116.0,260.0,1.0,140.9,149.7,"DPOY-1,DEF1"
murrake02,23.0,Keegan Murray,23.0,SAC,SF,77.0,77.0,2588.0,0.454,0.56,0.358,0.548,0.831,0.569,0.127,0.524,96.0,103.0,98.0,100.0,106.0,98.0,52.0,133.0,3.3,-22.3,
bridgmi02,24.0,Miles Bridges,25.0,CHO,SF,69.0,67.0,2581.0,0.462,0.529,0.349,0.527,0.825,0.556,0.174,0.372,97.0,97.0,95.0,96.0,105.0,96.0,71.0,94.0,-47.6,-62.3,
lillada01,25.0,Damian Lillard,33.0,MIL,PG,73.0,73.0,2579.0,0.424,0.49,0.354,0.51,0.92,0.59,0.403,0.487,89.0,90.0,97.0,93.0,117.0,102.0,165.0,123.0,-93.9,31.4,"CPOY-11,AS"
antetgi01,26.0,Giannis Antetokounmpo,29.0,MIL,PF,73.0,73.0,2567.0,0.611,0.645,0.274,0.624,0.657,0.649,0.571,0.091,129.0,118.0,75.0,114.0,84.0,112.0,234.0,23.0,211.6,234.9,"MVP-4,DPOY-9,CPOY-12,AS,NBA1"
portemi01,27.0,Michael Porter Jr.,25.0,DEN,SF,81.0,81.0,2565.0,0.484,0.575,0.397,0.586,0.836,0.601,0.102,0.513,102.0,106.0,109.0,107.0,107.0,104.0,42.0,130.0,84.6,48.2,
gilgesh01,28.0,Shai Gilgeous-Alexander,25.0,OKC,PG,75.0,75.0,2553.0,0.535,0.576,0.353,0.567,0.874,0.636,0.436,0.181,113.0,106.0,97.0,104.0,111.0,110.0,179.0,46.0,61.6,197.9,"MVP-2,DPOY-7,CPOY-3,AS,NBA1"
allengr01,29.0,Grayson Allen,28.0,PHO,SG,75.0,74.0,2513.0,0.499,0.57,0.461,0.649,0.878,0.679,0.216,0.652,105.0,104.0,126.0,119.0,112.0,117.0,88.0,165.0,139.5,147.9,
jamesle01,30.0,LeBron James,39.0,LAL,PF,71.0,71.0,2504.0,0.54,0.592,0.41,0.599,0.75,0.63,0.318,0.286,114.0,109.0,112.0,110.0,96.0,109.0,130.0,72.0,131.9,143.8,"CPOY-10,AS,NBA3"
georgpa01,31.0,Paul George,33.0,LAC,PF,74.0,74.0,2502.0,0.471,0.523,0.413,0.569,0.907,0.613,0.235,0.476,99.0,96.0,113.0,104.0,116.0,106.0,96.0,120.0,56.0,88.7,AS
schrode01,32.0,Dennis Schröder,30.0,2TM,PG,80.0,58.0,2486.0,0.435,0.474,0.375,0.509,0.836,0.55,0.23,0.397,92.0,87.0,103.0,93.0,107.0,95.0,94.0,101.0,-69.3,-62.0,
schrode01,32.0,Dennis Schröder,30.0,TOR,PG,51.0,33.0,1559.0,0.442,0.501,0.35,0.511,0.852,0.559,0.267,0.394,93.0,92.0,96.0,93.0,109.0,96.0,109.0,100.0,-40.0,-26.5,
schrode01,32.0,Dennis Schröder,30.0,BRK,PG,29.0,25.0,927.0,0.424,0.432,0.412,0.507,0.797,0.535,0.174,0.402,89.0,79.0,113.0,93.0,102.0,92.0,71.0,102.0,-29.3,-35.5,
russeda01,33.0,D'Angelo Russell,27.0,LAL,PG,76.0,69.0,2484.0,0.456,0.497,0.415,0.56,0.828,0.588,0.178,0.505,96.0,91.0,113.0,102.0,106.0,101.0,73.0,128.0,29.5,18.2,
hardeja01,34.0,James Harden,34.0,LAC,PG,72.0,72.0,2470.0,0.428,0.497,0.381,0.541,0.878,0.612,0.418,0.594,90.0,91.0,104.0,99.0,112.0,106.0,171.0,150.0,-8.5,62.9,
bookede01,35.0,Devin Booker,27.0,PHO,PG,68.0,68.0,2447.0,0.492,0.552,0.364,0.55,0.886,0.611,0.35,0.32,104.0,101.0,99.0,101.0,113.0,105.0,143.0,81.0,9.5,94.0,"AS,NBA3"
allenja01,36.0,Jarrett Allen,25.0,CLE,C,77.0,77.0,2442.0,0.634,0.638,0.0,0.634,0.742,0.664,0.383,0.007,134.0,117.0,0.0,116.0,95.0,114.0,157.0,2.0,142.8,160.7,DPOY-10
smithja05,37.0,Jabari Smith Jr.,20.0,HOU,PF,76.0,76.0,2424.0,0.454,0.53,0.363,0.537,0.811,0.571,0.222,0.456,96.0,97.0,99.0,98.0,103.0,98.0,91.0,116.0,-16.5,-16.7,
curryst01,38.0,Stephen Curry,35.0,GSW,PG,74.0,74.0,2421.0,0.45,0.515,0.408,0.573,0.923,0.616,0.224,0.606,95.0,94.0,111.0,105.0,118.0,106.0,92.0,154.0,77.5,114.5,"CPOY-1,AS,NBA3"
adebaba01,39.0,Bam Adebayo,26.0,MIA,C,71.0,71.0,2416.0,0.521,0.528,0.357,0.529,0.755,0.576,0.381,0.041,110.0,97.0,98.0,97.0,96.0,99.0,156.0,10.0,-36.7,-10.2,"DPOY-3,AS,DEF1"
holmgch01,40.0,Chet Holmgren,21.0,OKC,C,82.0,82.0,2413.0,0.53,0.623,0.37,0.598,0.793,0.632,0.289,0.366,112.0,114.0,101.0,109.0,101.0,109.0,118.0,93.0,97.3,111.2,ROY-2
lopezbr01,41.0,Brook Lopez,35.0,MIL,C,79.0,79.0,2411.0,0.485,0.621,0.366,0.583,0.821,0.608,0.177,0.535,102.0,114.0,100.0,107.0,105.0,105.0,73.0,136.0,54.7,45.8,
