player_id,Player,Age,Team,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt p100,On-Off p100,BadPass TO,LostBall TO,Shoot Foul,Off. Foul,Shoot Drawn,Off. Drawn,PGA,And1,Blkd,Awards,Column_25
derozde01,3,Coby White,23,CHI,PG,79,78,2881,85,15,0,0,0,-0.8,2.1,73,58,99,12,113,50,983,25,66,
sabondo01,4,Mikal Bridges,27,BRK,SF,82,82,2854,1,28,50,20,1,-3.6,-2.2,82,60,55,6,127,23,748,30,54,
whiteco01,5,Paolo Banchero,21,ORL,PF,80,80,2799,0,0,0,93,7,-0.3,-7.3,114,91,92,21,269,0,1054,51,87,AS
bridgmi01,6,Kevin Durant,35,PHO,PF,75,75,2791,0,0,6,85,9,5.2,6.7,118,94,68,14,180,11,895,46,49,"MVP-9,AS,NBA2"
banchpa01,7,Dejounte Murray,27,ATL,SG,78,78,2783,38,62,0,0,0,-3.2,-3.1,117,59,57,14,116,8,1221,29,69,
duranke01,8,Anthony Edwards,22,MIN,SG,79,78,2770,3,73,24,0,0,7.4,2.8,112,91,61,15,240,1,1024,69,56,"MVP-7,CPOY-8,AS,NBA2"
murrade01,9,Nikola Jokić,28,DEN,C,79,79,2737,0,0,0,0,100,11.6,20.0,143,66,97,21,181,5,1662,59,68,"MVP-1,CPOY-4,AS,NBA1"
edwaran01,10,Jalen Brunson,27,NYK,PG,77,77,2726,100,0,0,0,0,8.3,11.8,96,67,74,13,222,75,1269,86,64,"MVP-5,CPOY-5,AS,NBA2"
jokicni01,11,Josh Hart,28,NYK,SF,81,42,2707,0,3,69,28,0,6.5,5.5,71,28,86,10,53,9,824,15,55,
brunsja01,12,Anthony Davis,30,LAL,C,76,76,2700,0,0,0,3,97,2.3,6.0,53,60,117,22,221,4,625,60,80,"DPOY-4,AS,NBA2,DEF1"
hartjo01,13,Fred VanVleet,29,HOU,PG,73,73,2684,84,16,0,0,0,3.0,5.4,84,30,85,8,82,27,1391,18,32,
davisan02,14,De'Aaron Fox,26,SAC,PG,74,74,2659,100,0,0,0,0,3.1,5.5,106,71,88,10,186,21,1031,44,68,CPOY-12
vanvlfr01,15,Pascal Siakam,29,2TM,PF,80,80,2657,0,0,5,87,8,1.7,5.3,57,40,70,25,209,8,843,65,47,
foxde01,15,Pascal Siakam,29,TOR,PF,39,39,1354,0,0,1,85,14,-0.2,9.4,33,23,25,13,116,4,466,39,21,
siakapa01,15,Pascal Siakam,29,IND,PF,41,41,1303,0,0,9,90,1,3.7,1.1,24,17,45,12,93,4,377,26,26,
