player_id,Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
bertada01,294.0,Dāvis Bertāns,31.0,2TM,PF,43.0,1.0,674.0,92.0,234.0,0.393,76.0,200.0,0.38,16.0,34.0,0.471,0.556,30.0,33.0,0.909,9.0,52.0,61.0,35.0,26.0,12.0,18.0,56.0,290.0,0.0,
bertada01,294.0,Dāvis Bertāns,31.0,OKC,PF,15.0,0.0,91.0,10.0,26.0,0.385,10.0,24.0,0.417,0.0,2.0,0.0,0.577,14.0,15.0,0.933,2.0,8.0,10.0,9.0,3.0,3.0,1.0,10.0,44.0,0.0,
bertada01,294.0,Dāvis Bertāns,31.0,CHO,PF,28.0,1.0,583.0,82.0,208.0,0.394,66.0,176.0,0.375,16.0,32.0,0.5,0.553,16.0,18.0,0.889,7.0,44.0,51.0,26.0,23.0,9.0,17.0,46.0,246.0,0.0,
hayeski01,295.0,Killian Hayes,22.0,DET,PG,42.0,31.0,1008.0,117.0,283.0,0.413,22.0,74.0,0.297,95.0,209.0,0.455,0.452,33.0,50.0,0.66,11.0,108.0,119.0,205.0,36.0,20.0,51.0,75.0,289.0,0.0,
smartma01,296.0,Marcus Smart,29.0,MEM,PG,20.0,20.0,605.0,102.0,237.0,0.43,42.0,134.0,0.313,60.0,103.0,0.583,0.519,43.0,56.0,0.768,6.0,47.0,53.0,86.0,41.0,5.0,62.0,53.0,289.0,0.0,
portecr01,297.0,Craig Porter Jr.,23.0,CLE,PG,51.0,6.0,649.0,116.0,228.0,0.509,12.0,34.0,0.353,104.0,194.0,0.536,0.535,41.0,56.0,0.732,21.0,88.0,109.0,118.0,21.0,15.0,45.0,40.0,285.0,0.0,
chrisma02,298.0,Max Christie,20.0,LAL,SG,67.0,7.0,944.0,103.0,241.0,0.427,42.0,118.0,0.356,61.0,123.0,0.496,0.515,36.0,46.0,0.783,15.0,127.0,142.0,60.0,20.0,17.0,35.0,57.0,284.0,0.0,
tillmxa01,299.0,Xavier Tillman Sr.,25.0,2TM,PF,54.0,15.0,974.0,121.0,279.0,0.434,20.0,81.0,0.247,101.0,198.0,0.51,0.47,22.0,50.0,0.44,70.0,141.0,211.0,77.0,51.0,44.0,34.0,75.0,284.0,0.0,
tillmxa01,299.0,Xavier Tillman Sr.,25.0,MEM,C,34.0,13.0,700.0,87.0,213.0,0.408,12.0,53.0,0.226,75.0,160.0,0.469,0.437,18.0,43.0,0.419,56.0,101.0,157.0,57.0,42.0,35.0,29.0,60.0,204.0,0.0,
tillmxa01,299.0,Xavier Tillman Sr.,25.0,BOS,PF,20.0,2.0,274.0,34.0,66.0,0.515,8.0,28.0,0.286,26.0,38.0,0.684,0.576,4.0,7.0,0.571,14.0,40.0,54.0,20.0,9.0,9.0,5.0,15.0,80.0,0.0,
